id,toxic,severe_toxic,obscene,threat,insult,identity_hate
22256635,1,0,0,0,0,0
27450690,0,0,0,0,0,0
54037174,0,0,0,0,0,0
77493077,0,0,0,0,0,0
79357270,0,0,0,0,0,0
82428052,0,0,0,0,0,0
87311443,0,0,0,0,0,0
114749757,0,0,0,0,0,0
138560519,0,0,0,0,0,0
139353149,0,0,0,0,0,0
150009866,0,0,0,0,0,0
152276337,0,0,0,0,0,0
153331729,0,0,0,0,0,0
153600803,0,0,0,0,0,0
154186883,0,0,0,0,0,0
161894108,0,0,0,0,0,0
169740962,0,0,0,0,0,0
178084608,0,0,0,0,0,0
208005265,0,0,0,0,0,0
224733383,0,0,0,0,0,0
225701312,1,0,0,0,0,0
237279459,0,0,0,0,0,0
254015372,0,0,0,0,0,0
280570905,0,0,0,0,0,0
284253328,0,0,0,0,0,0
287371884,0,0,0,0,0,0
293668009,1,0,0,0,0,0
300891545,0,0,0,0,0,0
307040060,0,0,0,0,0,0
340940431,0,0,0,0,0,0
341549388,1,0,0,0,0,0
343979528,0,0,0,0,0,0
345843351,1,0,1,0,1,0
355915808,0,0,0,0,0,0
358244768,0,0,0,0,0,0
362249102,0,0,0,0,0,0
376710107,0,0,0,0,0,0
391033562,0,0,0,0,0,0
394506405,0,0,0,0,0,0
407636870,1,0,0,0,0,0
414397990,0,0,0,0,0,0
432151373,0,0,0,0,0,0
434956625,0,0,0,0,0,0
450466581,0,0,0,0,0,0
459938824,0,0,0,0,0,0
462116798,0,0,0,0,0,0
466393763,0,0,0,0,0,0
473458873,0,0,0,0,0,0
475961218,0,0,0,0,0,0
476919417,0,0,0,0,0,0
514864625,0,0,0,0,0,0
558577514,0,0,0,0,0,0
576955352,0,0,0,0,0,0
584748441,0,0,0,0,0,0
590180328,0,0,0,0,0,0
606675581,0,0,0,0,0,0
607698611,0,0,0,0,0,0
612361386,0,0,0,0,0,0
612369546,0,0,0,0,0,0
616913502,0,0,0,0,0,0
644569201,0,0,0,0,0,0
652183513,0,0,0,0,0,0
659300233,1,0,0,0,0,0
680682776,0,0,0,0,0,0
686065030,0,0,0,0,0,0
696140479,0,0,0,0,0,0
702276920,0,0,0,0,0,0
706540367,0,0,0,0,0,0
719162320,0,0,0,0,0,0
729566708,0,0,0,0,0,0
746806639,0,0,0,0,0,0
764135765,0,0,0,0,0,0
765142199,0,0,0,0,0,0
772402535,0,0,0,0,0,0
792461063,0,0,0,0,0,0
797131553,0,0,0,0,0,0
797617667,0,0,0,0,0,0
809257181,0,0,0,0,0,0
818316615,0,0,0,0,0,0
839277218,1,0,0,0,0,0
850753790,0,0,0,0,0,0
867036368,1,0,1,0,1,0
870494618,0,0,0,0,0,0
871527188,0,0,0,0,0,0
888147137,0,0,0,0,0,0
896440365,0,0,0,0,0,0
903134494,1,0,1,0,1,0
939463818,0,0,0,0,0,0
950706683,0,0,0,0,0,0
955104481,1,0,0,0,0,0
969644150,0,0,0,0,0,0
977790065,0,0,0,0,0,0
979105271,0,0,0,0,0,0
983161859,0,0,0,0,0,0
1017368362,0,0,0,0,0,0
1035617232,0,0,0,0,0,0
1048994919,0,0,0,0,0,0
1050389269,0,0,0,0,0,0
1062191540,0,0,0,0,0,0
1063540668,0,0,0,0,0,0
1065542064,0,0,0,0,0,0
1086099304,0,0,0,0,0,0
1098067176,0,0,0,0,0,0
1099662066,0,0,0,0,0,0
1102537245,1,0,1,0,1,0
1108786298,0,0,0,0,0,0
1115316430,0,0,0,0,0,0
1130875035,0,0,0,0,0,0
1137429102,0,0,0,0,0,0
1148598836,0,0,0,0,0,0
1150845666,0,0,0,0,0,0
1156286321,0,0,0,0,0,0
1157220703,0,0,0,0,0,0
1164045443,0,0,0,0,0,0
1174012385,0,0,0,0,0,0
1176678420,0,0,0,0,0,0
1190311130,0,0,0,0,0,0
1198083804,0,0,0,0,0,0
1227668448,0,0,0,0,0,0
1228414270,0,0,0,0,0,0
1229646808,1,0,0,0,0,0
1243818932,0,0,0,0,0,0
1246453271,0,0,1,0,1,0
1267801288,0,0,0,0,0,0
1273021506,1,0,1,0,1,0
1306470083,0,0,0,0,0,0
1311827953,0,0,0,0,0,0
1321814522,0,0,0,0,0,0
1357591601,0,0,0,0,0,0
1365464354,0,0,0,0,0,0
1365464552,0,0,0,0,0,0
1376817061,0,0,0,0,0,0
1392815339,0,0,0,0,0,0
1397574294,0,0,0,0,0,0
1398901614,0,0,0,0,0,0
1403023535,0,0,0,0,0,0
1446138065,0,0,0,0,0,0
1454890762,0,0,0,0,0,0
1472348110,0,0,0,0,0,0
1475696849,0,0,0,0,0,0
1479035868,0,0,0,0,0,0
1506846893,0,0,0,0,0,0
1510194680,0,0,0,0,0,0
1512511397,0,0,0,0,0,0
1512938791,1,0,0,0,0,0
1542593818,0,0,0,0,0,0
1553668749,0,0,0,0,0,0
1565719010,0,0,0,0,0,0
1588358875,0,0,0,0,0,0
1590833599,1,0,0,0,0,0
1591255325,0,0,0,0,0,0
1591372448,0,0,0,0,0,0
1606211482,0,0,0,0,0,0
1609006537,0,0,0,0,0,0
1629506534,0,0,0,0,0,0
1639654912,0,0,0,0,0,0
1649797292,0,0,0,0,0,0
1652291735,0,0,0,0,0,0
1654469510,0,0,0,0,0,0
1655024340,0,0,0,0,0,0
1687035519,1,0,0,0,1,0
1708693207,0,0,0,0,0,0
1710669009,0,0,0,0,0,0
1716494271,0,0,0,0,0,0
1722868235,0,0,0,0,0,0
1725860818,0,0,0,0,0,0
1734252360,0,0,0,0,0,0
1740983281,0,0,0,0,0,0
1746548720,0,0,0,0,0,0
1748756298,0,0,0,0,0,0
1769796641,0,0,0,0,0,0
1775841764,0,0,0,0,0,0
1784144077,0,0,0,0,0,0
1794263846,0,0,0,0,0,0
1796995620,0,0,0,0,0,0
1816740307,0,0,0,0,0,0
1832539698,0,0,0,0,0,0
1838336228,0,0,0,0,0,0
1840540791,0,0,0,0,0,0
1849600862,0,0,0,0,0,0
1865623644,0,0,0,0,0,0
1884595659,0,0,0,0,0,0
1890554908,0,0,0,0,0,0
1908615028,0,0,0,0,0,0
1930312207,0,0,0,0,0,0
1934524720,0,0,0,0,0,0
1946724264,0,0,0,0,0,0
1947830421,0,0,0,0,0,0
1950284236,0,0,0,0,0,0
1950931315,0,0,0,0,0,0
1953495807,0,0,0,0,0,0
1953959953,0,0,0,0,0,0
1980002041,0,0,0,0,0,0
2000173498,0,0,0,0,0,0
2001769196,0,0,0,0,0,0
2025084277,0,0,0,0,0,0
2037350759,0,0,0,0,0,0
2043774243,0,0,0,0,0,0
2047806278,0,0,0,0,0,0
2056262445,0,0,0,0,0,0
2060177384,0,0,0,0,0,0
2072028876,0,0,0,0,0,0
2080004269,0,0,0,0,0,0
2081158779,0,0,0,0,0,0
2106224709,0,0,0,0,0,0
2110149645,0,0,0,0,0,0
2117806863,0,0,0,0,0,0
2127549275,0,0,0,0,0,0
2161186383,0,0,0,0,0,0
2169779159,0,0,0,0,0,0
2188486134,0,0,0,0,0,0
2230139336,0,0,0,0,0,0
2241959097,0,0,0,0,0,0
2248673613,1,1,1,0,1,0
2249807516,0,0,0,0,0,0
2262828542,0,0,0,0,0,0
2267885345,0,0,0,0,0,0
2269913453,0,0,0,0,0,0
2274638179,0,0,0,0,0,0
2278189129,0,0,0,0,0,0
2302694137,1,0,0,0,0,0
2302711496,0,0,0,0,0,0
2319074043,0,0,0,0,0,0
2346311142,0,0,0,0,0,0
2347919472,0,0,0,0,0,0
2352498529,0,0,0,0,0,0
2352904247,0,0,0,0,0,0
2359918541,0,0,0,0,0,0
2371088184,0,0,0,0,0,0
2371355491,0,0,0,0,0,0
2384678233,0,0,0,0,0,0
2395544863,0,0,0,0,0,0
2405743565,0,0,0,0,0,0
2412643376,0,0,0,0,0,0
2414065368,1,0,1,0,0,0
2440337819,0,0,0,0,0,0
2445585834,1,0,0,0,0,0
2454474404,0,0,0,0,0,0
2461908386,0,0,0,0,0,0
2464148404,0,0,0,0,0,0
2482176582,0,0,0,0,0,0
2484521289,0,0,0,0,0,0
2484664789,0,0,0,0,0,0
2486109640,0,0,0,0,0,0
2501583042,0,0,0,0,0,0
2508385552,0,0,0,0,0,0
2510200747,0,0,0,0,0,0
2527125116,0,0,0,0,0,0
2549679267,0,0,0,0,0,0
2562077276,0,0,0,0,0,0
2562640465,0,0,0,0,0,0
2562791652,0,0,0,0,0,0
2580259014,0,0,0,0,0,0
2605331397,0,0,0,0,0,0
2606535500,0,0,0,0,0,0
2607927156,0,0,0,0,0,0
2637481068,0,0,0,0,0,0
2653406792,0,0,0,0,0,0
2655771250,0,0,0,0,0,0
2659323483,0,0,0,0,0,0
2661543774,0,0,0,0,0,0
2664835150,0,0,0,0,0,0
2755706761,0,0,0,0,0,0
2764328476,0,0,0,0,0,0
2774782227,0,0,0,0,0,0
2783896542,0,0,0,0,0,0
2807618475,0,0,0,0,0,0
2820820905,0,0,0,0,0,0
2825790458,0,0,0,0,0,0
2874653924,0,0,0,0,0,0
2949487698,0,0,0,0,0,0
2957906887,1,0,0,0,0,0
2959414062,0,0,0,0,0,0
2960921402,0,0,0,0,0,0
2975052593,0,0,0,0,0,0
2975081442,0,0,0,0,0,0
2978469504,0,0,0,0,0,0
2981933838,0,0,0,0,0,0
2987772018,0,0,0,0,0,0
3002199485,0,0,0,0,0,0
3002741754,0,0,0,0,0,0
3008076934,0,0,0,0,0,0
3015687599,0,0,0,0,0,0
3016427664,0,0,0,0,0,0
3025429213,0,0,0,0,0,0
3031667276,0,0,0,0,0,0
3038244770,1,0,1,0,0,0
3046298103,0,0,0,0,0,0
3051598185,0,0,0,0,0,0
3055743287,0,0,0,0,0,0
3065383766,0,0,0,0,0,0
3065427987,0,0,0,0,0,0
3066206795,1,0,0,0,1,0
3067668247,0,0,0,0,0,0
3094341323,0,0,0,0,0,0
3099079098,0,0,0,0,0,0
3106355980,0,0,0,0,0,0
3115504264,0,0,0,0,0,0
3118614908,1,0,0,0,0,0
3170023635,0,0,0,0,0,0
3180390800,0,0,0,0,0,0
3181451796,0,0,0,0,0,0
3181507978,0,0,0,0,0,0
3199936781,0,0,0,0,0,0
3214522348,0,0,0,0,0,0
3220177613,0,0,0,0,0,0
3232623757,0,0,0,0,0,0
3275828380,0,0,0,0,1,0
3276058038,1,0,1,0,1,1
3285964671,0,0,0,0,0,0
3292609128,0,0,0,0,0,0
3300992243,0,0,0,0,0,0
3312911305,0,0,0,0,0,0
3318160394,0,0,0,0,0,0
3329760063,0,0,0,0,0,0
3330138128,0,0,0,0,0,0
3341431231,0,0,0,0,0,0
3343987295,0,0,0,0,0,0
3354746117,0,0,0,0,0,0
3389653316,0,0,0,0,0,0
3389716623,0,0,0,0,0,0
3398744236,0,0,0,0,0,0
3413492762,0,0,0,0,0,0
